Job Title,Company,Description
Design Graphique junior - job post,ALEIA.css-r5jz5s{width:1.5rem;height:1.5rem;color:inherit;display:-webkit-inline-box;display:-webkit-inline-flex;display:-ms-inline-flexbox;display:inline-flex;-webkit-flex:0 0 auto;-ms-flex:0 0 auto;flex:0 0 auto;height:1em;width:1em;margin:0 0 0.25rem 0.25rem;vertical-align:middle;},ALEIA est une agence digitale internationale présente dans plusieurs pays  dont le Maroc  où nous recherchons un e  Designer UX UI pour rejoindre notre équipe  Nous réalisons des projets de design et de développement de produits digitaux pour des clients tels que des startups  des PME et des grandes entreprises comme LVMH  Maybelline  Vous travaillerez en étroite collaboration avec l équipe créative pour produire des designs visuellement attractifs qui communiquent efficacement notre marque et nos produits  En tant que Designer UX UI  vous serez responsable de la conception graphique de différents projets  notamment des sites web  des applications et des supports de communication  Au delà des compétences en termes de design nous recherchons un profil polyvalent avec d excellents qualités de communication et rédactionnelle bilingue en Français et Anglais  Nous recherchons surtout un talent  avec beaucoup de potentiel et ambitieux et souhaitant s impliquer fortement dans la société pour rejoindre le top management et ainsi soutenir la filiale Tunisienne  Responsabilités principales    Concevoir des supports visuels pour les campagnes marketing  les présentations  les affiches et autres supports de communication  Travailler en étroite collaboration avec les membres de l équipe créative pour produire des designs de haute qualité  Collaborer avec les équipes internes pour comprendre les besoins en matière de conception et les intégrer dans les projets  Gérer plusieurs projets simultanément et respecter les délais impartis  Adobe XD ou figma competence en xd ou figma  Ce que nous vous proposons    Un environnement de travail stimulant et créatif  Des formations et un coaching sur les aspects managériaux  Des soirées et événements de team building  Une ambiance startup et décontractée   Si vous êtes passionné e  par le design et que vous souhaitez rejoindre une équipe de professionnels talentueux  veuillez nous envoyer obligatoirement votre CV et votre portfolio aussi  En savoir plus sur nous https   aleia io  https   agency aleia io  Type d emploi   Temps plein
Web Designer - job post,BestCarriere,Nous recrutons un Web designer Profil   2 ans d expérience ou plus en Web Design Maitrise de la langue Anglaise Maitrise du Photoshop et Adobe Illustrator Maitrise HTML  CSS et Javascript Connaissance des outils AB Testing et US Analytics du marché Type d emploi   CDI Formation   Bac   2  BTS  DUT   Optionnel 
Graphic Designer - job post,BEYONDCOM,Intitulé de la fonction   Graphic Designer Type de contrat   CDI  Temps plein Localisation   Casablanca Description du poste   En tant que Graphic Designer  vous rejoindrez notre équipe créative et serez responsable de la conception de supports visuels pour des projets variés allant du branding à la communication digitale  Vous travaillerez en étroite collaboration avec les équipes marketing  communication et digital pour concevoir des visuels innovants et percutants  tout en respectant l identité des clients  Missions   Création de supports visuels pour des projets variés   branding  web  print  réseaux sociaux  etc  Développement d identités visuelles cohérentes et percutantes  Collaboration avec les équipes marketing  communication et digital pour la création de contenus visuels attractifs  Veille créative et tendance pour proposer des concepts innovants et différenciants  Participation à l élaboration de stratégies visuelles et de design pour les campagnes publicitaires  Gestion de plusieurs projets en parallèle tout en respectant les délais et la qualité des livrables  Profil recherché   Expérience   2 à 5 ans d expérience en tant que graphiste  de préférence en agence ou dans un environnement créatif  Compétences techniques   Maîtrise des outils de création graphique  Adobe Creative Suite   Photoshop  Illustrator  InDesign  etc    avec une forte sensibilité au design web et print  Créativité et sens du détail   Capacité à penser  outside the box  tout en étant minutieux dans les finitions  Gestion de projets   Compétence à gérer plusieurs projets simultanément et à respecter les deadlines  Esprit d équipe   Excellentes compétences en communication et collaboration au sein d une équipe dynamique et pluridisciplinaire  Langues   Bon niveau en français et en anglais  à l oral comme à l écrit  Pourquoi nous rejoindre   Environnement créatif   Travaillez dans un cadre dynamique et stimulant avec une équipe passionnée  Opportunités de développement   Bénéficiez de possibilités d évolution professionnelle dans une entreprise en pleine croissance  Culture d entreprise   Rejoignez une entreprise qui valorise l innovation  la diversité et la créativité  Processus de recrutement   Postulez en envoyant votre portfolio et CV à jobs beyondcom ma  Entretien avec l équipe créative pour discuter de votre expérience et de votre vision du design  Entretien final avec le PDG du groupe et votre futur manager  Nous encourageons toutes les candidatures  sans distinction  et nous nous engageons à traiter chaque demande avec respect et transparence  Type d emploi   Temps plein  CDI Type d emploi   Temps plein  CDI
Infographiste - job post,Amzil,Nous recherchons un e  Infographiste créatif ve  et passionné e  pour rejoindre notre équipe dynamique  Si vous avez un œil pour le détail et une maîtrise des outils de création graphique  nous serions ravis de vous rencontrer    Missions principales    Création et conception de visuels pour les supports de communication  brochures  affiches  bannières  flyers  etc    Élaboration de designs pour les réseaux sociaux  sites web et applications mobiles  Mise en page de documents imprimés et numériques  Collaboration avec les équipes marketing et communication pour répondre aux besoins visuels de l entreprise  Retouche et modification d images  Veiller à la cohérence graphique et à l image de marque de l entreprise   Profil recherché    Diplôme en infographie  design graphique  ou domaine similaire  Maîtrise des logiciels de création graphique  Adobe Photoshop  Illustrator  InDesign  etc    Créativité  sens de l esthétique et souci du détail  Bonne gestion du temps et capacité à respecter les délais  Expérience en design pour des projets variés  print et digital  est un plus  Bonne communication et capacité à travailler en équipe   Merci d envoyer votre CV  portfolio
Infographiste - job post,HR skills,HR Skills Maroc recrute pour l un de ses clients une Infographiste Junior avec au moins 1 an d expérience  notamment en imprimerie  Vous serez en charge de la création de supports visuels destinés à l impression  flyers  brochures  affiches  etc   et travaillerez en étroite collaboration avec l équipe créative pour développer des concepts graphiques innovants  Si vous êtes passionné e  par le design et que vous maîtrisez les logiciels Adobe  Illustrator  Photoshop  InDesign  Job Type  Full time Application Deadline  30 10 2024
Design Graphique junior - job post,ALEIA,ALEIA est une agence digitale internationale présente dans plusieurs pays  dont le Maroc  où nous recherchons un e  Designer UX UI pour rejoindre notre équipe  Nous réalisons des projets de design et de développement de produits digitaux pour des clients tels que des startups  des PME et des grandes entreprises comme LVMH  Maybelline  Vous travaillerez en étroite collaboration avec l équipe créative pour produire des designs visuellement attractifs qui communiquent efficacement notre marque et nos produits  En tant que Designer UX UI  vous serez responsable de la conception graphique de différents projets  notamment des sites web  des applications et des supports de communication  Au delà des compétences en termes de design nous recherchons un profil polyvalent avec d excellents qualités de communication et rédactionnelle bilingue en Français et Anglais  Nous recherchons surtout un talent  avec beaucoup de potentiel et ambitieux et souhaitant s impliquer fortement dans la société pour rejoindre le top management et ainsi soutenir la filiale Tunisienne  Responsabilités principales    Concevoir des supports visuels pour les campagnes marketing  les présentations  les affiches et autres supports de communication  Travailler en étroite collaboration avec les membres de l équipe créative pour produire des designs de haute qualité  Collaborer avec les équipes internes pour comprendre les besoins en matière de conception et les intégrer dans les projets  Gérer plusieurs projets simultanément et respecter les délais impartis  Adobe XD ou figma competence en xd ou figma  Ce que nous vous proposons    Un environnement de travail stimulant et créatif  Des formations et un coaching sur les aspects managériaux  Des soirées et événements de team building  Une ambiance startup et décontractée   Si vous êtes passionné e  par le design et que vous souhaitez rejoindre une équipe de professionnels talentueux  veuillez nous envoyer obligatoirement votre CV et votre portfolio aussi  En savoir plus sur nous https   aleia io  https   agency aleia io  Type d emploi   Temps plein
Cherchons deux profils de design 3D - job post,J&M technologie,Nous sommes basé à Casablanca cherchons deux Profils de design 3D Les compétences professionnels  Maîtrise des logiciels 3DS Max V9  Cinéma 4DPhotoshop illustrâter In Design  Autocad Disponibilité immédiate  Si vous êtes intéressé avez vous un bon sens de communication et vous aimeriez booster votre carrièrePROFIL   Rigoureux  Organisé et impliqué Veuillez adresser votre CV pour un entretien Type d emploi   CDI
Graphiste Designer - job post,CGI,Vous êtes passionné e  par le design et la création visuelle   Vous avez une solide expérience en agence et une envie de rejoindre une équipe dynamique et créative   Nous avons l opportunité qu il vous faut   Missions    Création de supports visuels pour des projets variés  branding  web  print  réseaux sociaux  etc   Développement d identités visuelles en adéquation avec les besoins des clients Collaboration avec les équipes marketing  communication et digital pour la conception de contenus innovants Veille sur les tendances graphiques et proposition de nouvelles idées créatives  Profil recherché    2 à 5 ans d expérience en tant que graphiste en agence Maîtrise des outils de création graphique  Adobe Creative Suite   Photoshop  Illustrator  InDesign  etc   Solides compétences en design web et print Sens créatif et souci du détail Capacité à gérer plusieurs projets simultanément et à respecter les délais Excellentes compétences en communication et esprit d équipe  Opportunité sur Casablanca Type d emploi   Temps plein  CDI Rémunération   à partir de 10 000 00DH par mois
graphic design - job post,Wem,Description du Poste Nous recherchons un Designer Infographiste talentueux et créatif pour rejoindre notre équipe  Vous serez responsable de la création de visuels attrayants  de la conception graphique de projets web et imprimés  et de la réalisation de supports variés répondant aux besoins de nos clients  Responsabilités  Concevoir et réaliser des visuels attractifs pour des supports numériques et imprimés  bannières  affiches  publications pour réseaux sociaux  infographies  etc    Collaborer avec les équipes marketing et création pour traduire les briefs en créations visuelles impactantes  Assurer la cohérence de l image de marque de nos clients à travers tous les supports visuels  Apporter des idées innovantes et s approprier les dernières tendances en design graphique et infographie  Participer aux réunions créatives et proposer des concepts pour de nouveaux projets   Profil Recherché  Diplôme en design graphique  infographie  arts visuels  ou domaine connexe  Minimum 2 ans d expérience dans un poste similaire  Maîtrise des logiciels de design graphique  Adobe Photoshop  Illustrator  InDesign  etc    Bonne connaissance des principes de design web et des formats pour les réseaux sociaux  Sens de la créativité  de la précision et capacité à travailler en équipe  Excellente gestion du temps et des priorités pour répondre aux deadlines   Avantages  Opportunités de développement professionnel au sein d une équipe créative et inspirante  Accès à des projets variés et stimulants pour des clients de divers secteurs  Environnement de travail flexible et dynamique   Comment Postuler Envoyez nous votre CV  portfolio et une lettre de motivation expliquant pourquoi vous souhaitez rejoindre Wem Digital à l adresse suivante  contact wemdigital com  Nous avons hâte de découvrir votre créativité   Type d emploi   Temps plein Rémunération   2 800 00DH à 4 000 00DH par mois
Shopify Store Designer Specialist - job post,Shoplauncher,Shoplauncher is looking for a skilled and dedicated Shopify Store Developer to join our team  The ideal candidate will have a passion for e commerce and website development  with the ability to design  develop  and optimize Shopify stores for a wide variety of clients  As a Shopify Store Developer  you will be responsible for building high quality Shopify stores  ensuring they are visually appealing  functional  and fully equipped to meet the needs of our customers  Key Responsibilities   Create and develop custom Shopify stores from scratch  Customize Shopify themes to suit the specific requirements of clients  Ensure all stores are mobile friendly and fully optimized for SEO and conversion  Integrate third party apps and tools to enhance store functionality  Troubleshoot and fix any bugs or technical issues that arise  Collaborate with clients to understand their business needs and implement effective solutions  Maintain brand consistency across websites  Manage updates  revisions  and additional features post launch if required   Qualifications   Proven experience with Shopify store creation and management  Strong knowledge of Shopify Liquid templating  HTML  CSS  and JavaScript  Experience with Shopify s app ecosystem and third party integrations  Ability to create responsive and user friendly designs  Excellent problem solving skills and attention to detail  Ability to work independently and meet deadlines   Preferred Skills   Experience with Shopify Plus is a plus  Knowledge of UX UI best practices  Familiarity with SEO principles and optimization techniques  Basic knowledge of graphic design tools such as Adobe Photoshop or Canva   This is a great opportunity to work with a growing company  contribute to innovative projects  and grow your skills in the e commerce space  Job Type  Part time Pay  3 000 00DH   7 500 00DH per month Expected hours  7   14 per week
COMMUNITY MANAGER - job post,TALENTS PARTNERS,Rattaché  e  à la direction  vous aurez pour missions    Gérer la stratégie de publication et la remontée des leads des différentes campagnes sponsoring  Suivre les performances des pages sur toutes les plateformes  Gérer et planifier les publications  Coordonner la production de créations de postes avec l équipe créa pour assurer la régularité du contenu  Rédaction du contenu des postes  Modération des différentes pages  Stimuler l engagement  la portée des publications   En tant que Community Manager  vous serez chargé e  de la création de contenus de qualité pour le web  incluant l éditorial  les photos  les vidéos et le son   Vous devrez être capable de réaliser du design graphique lié au contenu et de gérer l e réputation de notre entreprise  Vous serez en charge de l animation de notre communauté en ligne et de la planification stratégique des postes de contenus pour atteindre nos objectifs de communication  Vous serez également chargé e  de rédiger du contenu de qualité et de l adapter à différents supports  tels que les réseaux sociaux  le site internet de notre entreprise et les newsletters  Vous devrez être en mesure d interagir avec les membres de notre communauté en leur apportant des réponses et en créant des échanges pertinents  Vous devrez également être capable de convertir les internautes en relais d informations et de développer notre communauté en ligne  Vous devrez suivre et planifier les actions de communication   Disponibilité   Immédiate Poste basé à Californie Mall  Casablanca Salaire compétitif basé sur l expérience  Type d emploi   CDI
Graphic Design - job post,Medify,En tant que stagiaire en graphisme et montage vidéo au sein de notre agence  vous aurez l opportunité de travailler avec une équipe passionnée et de mettre en pratique vos compétences en graphisme et en montage vidéo  Ce stage d une durée de 3 mois vous permettra d acquérir une expérience précieuse  de développer vos compétences et de contribuer à des projets stimulants Exigences    Étudiant e  en graphisme  montage vidéo  arts visuels ou domaine similaire  Maîtrise des logiciels de conception graphique  Adobe Photoshop  Illustrator  et de montage vidéo  Adobe Premiere Pro  CapCut  etc    Créativité  souci du détail et passion pour le design et la vidéo  Capacité à travailler en équipe et à respecter les délais  Ce que nous offrons    Une expérience pratique dans les domaines du graphisme et du montage vidéo au sein d une agence en pleine croissance  La possibilité de développer votre portfolio en travaillant sur des projets concrets  Un environnement de travail créatif et stimulant  La chance d apprendre aux côtés de professionnels chevronnés du secteur   Rejoignez notre équipe pour un stage enrichissant qui vous permettra de développer vos compétences en graphisme et en montage vidéo tout en contribuant à des projets inspirants  Envoyez votre CV et votre portfolio à   contact medify ma   pour postuler  Type d emploi   StageDurée du contrat   3 mois Rémunération   à partir de 1 000 00DH par mois Type d emploi   Temps plein  Stage
graphiste ou infographiste - job post,Mouhtadi Design,Nous sommes à la recherche d un ou d un e  graphiste ou infographiste base sur Casablanca créatif avec une très bonne maîtrise des logiciels PAO et une connaissance des identités visuelles  typographie et des couleurs     Mission      Assurer la création graphique des supports de communication visuelle  print  web    Recevoir un brief et reformuler le contexte textuel en création graphique  maquettes  flyers  affiches  site Internet  etc    Assurer le suivi de la mise en page jusqu à l impression la mise en ligne  Rechercher les informations utiles pour concevoir graphiquement les supports dans le respect des chartes graphiques  S assurer de la qualité des fichiers remis aux prestataires en charge de l impression mise en ligne  Suivre et contrôler les étapes de la chaîne graphique  en interne et en externe  pour la fabrication des supports de communication visuelle  Apportez  à la demande  son appui technique aux directions sur la réalisation graphique de leurs documents  Coordonner son activité avec le reste de l équipe  Élaborer le reporting de son activité  S assurer de l archivage des différentes campagnes de communication Réalisation de toutes créations visuelles digitales       Profil      Formation Bac  3 avec 1 an d experience minimum  infographie multimédia    Ouvert d esprit  créatif avec un sens d imagination  rigoureux  se  et assidu e        Compétences techniques      Maîtrise des outils de PAO  indesign  photoshop  illustrator etc   Les logiciels de montages sont un plus  adobe after effects  Première  Finalcut     Dans l attente de votre retour le plus tôt possible   la présence de votre cv et votre portfolio professionnel sont indispensables 
Design and UI/UX Manager - job post,Landlord Safety Certificate,Company Overview  Landlord Safety Certificate is a trusted provider of compliance and certification services  helping landlords across the UK ensure their properties meet safety and regulatory standards  As a rapidly growing company  we re dedicated to providing exceptional customer experiences both online and offline  To strengthen our brand and digital presence  we are seeking a talented and experienced Design and UI UX Manager to lead our creative initiatives  Job Description  The Design and UI UX Manager will play a pivotal role in designing and managing creative assets for our digital platforms and marketing materials  From enhancing the user experience on our website to designing engaging marketing materials  this role is critical in shaping the visual identity and functionality of our brand  Key Responsibilities   UI UX Design  Oversee and optimize the design and user experience of our website and online portals  ensuring they are intuitive  user friendly  and visually appealing  Website Management  Collaborate with the development team to create  update  and improve web pages in alignment with brand guidelines and user needs  Graphic Design  Create professional marketing assets  including brochures  presentations  banners  and digital print materials  Branding  Ensure a consistent and cohesive visual identity across all design elements  reinforcing our brand values and trust  Email Marketing Campaigns  Design eye catching email templates that align with marketing strategies and drive engagement  Collaboration  Partner with internal teams such as marketing  development  and customer service to execute creative campaigns  Project Management  Handle multiple projects simultaneously  ensuring timely delivery of high quality work   Qualifications   At least 3 years of experience in design and UI UX roles with a robust portfolio showcasing web  mobile  and graphic design projects  Expertise in tools like Adobe Creative Suite  Photoshop  Illustrator  InDesign   Figma  or similar  Strong understanding of UX principles  user research  and usability testing  Proven experience in designing for both web and mobile platforms  Attention to detail with a flair for creating visually impactful designs  Excellent project management skills to prioritize and deliver on multiple deadlines  Ability to communicate design ideas clearly and collaborate effectively with cross functional teams   What We Offer   Competitive salary based on experience  A collaborative and supportive work environment  Opportunities to shape the digital identity of a fast growing company  Professional growth and development opportunities   How to Apply  Submit your resume and portfolio of work to  rim lsconline co uk   Join Landlord Safety Certificate and play a key role in transforming how we engage with our clients and grow our business  We can t wait to see what you bring to the team  Job Type  CDI Pay  8 000 00DH   10 000 00DH per month
Infographiste - job post,METRACO,INFOGRAPHISTE   Nous recherchons un e  infographiste talentueux se  etpassionné e  pour rejoindre notre équipe et contribuer à la réalisation deprojets créatifs et captivants  Missions    Concevoir et réaliser des visuels  affiches  brochures  bannières  etc   pour différents supports de communication  Créer des illustrations  logos et chartes graphiques en respectant l identité visuelle de l entreprise  Collaborer avec les équipes marketing et communication pour concevoir des campagnes visuelles impactantes  Assurer la mise en page et le design de documents internes et externes  Participer à la conception de contenus numériques  réseaux sociaux  site web     Créer et optimiser des landing pages attrayantes  en respectant les standards de la marque  Effectuer la retouche et la manipulation d images pour divers supports  Assurer la qualité des projets et respecter les délais de production  Concevoir des design pour packaging  Profil recherché    Expérience en tant que Designer  avec une bonne compréhension des principes de création d identité visuelle  Maîtrise des logiciels de design   Photoshop  Illustrator  InDesign  etc    Connaissance en intelligence Artificielle Créativité  sens du détail  et aptitude à travailler en équipe  Bonnes compétences en gestion du temps et respect des délais  Connaissance des tendances actuelles en design et branding  Capacité à gérer plusieurs projets simultanément   Diplômeen design graphique  Ayant une expérience de 4 ans et plus autant qu infographiste Merci de joindre votre portfolio avec le cv Si vousrépondez aux critères mentionnés  prière d adresser votre CV   rh metraco ma Type d emploi   Temps plein
Infographiste - job post,SMART AFRICA,Avis de recrutement d un infographiste  Dans le cadre de son développement  structure dédiée à l orientation et l accompagnement des étudiants africains recrute un infographiste qui sera chargé de la mise en œuvre la stratégie de communication graphique du groupe  Principales missions    Concevoir et produire des contenus visuels accrocheurs  Elaborer des concepts graphiques pour les réseaux sociaux  les supports de promotion  les documents de gestion interne  Être force de proposition pour développer la stratégie de communication graphique   Profil recherché    Formation Bac 2 Bac 3 en Infographie  Communication visuelle ou Design graphique  Maîtrise des logiciels de conception graphique  Photoshop  Illustrator  InDesign   Créativité et sens de l imagination  Esprit du travail en équipe  Maîtrise de la langue française   Lieu de travail   Casablanca  Type de contrat   CDI  Si vous êtes intéressé  merci d envoyer un CV  une lettre de motivation et votre portfolio  Type d emploi   Temps plein  CDI Expérience   Infographie  1 an  Requis   Date limite de candidature   26 12 2024
Graphiste - job post,LIVEO,Missions   En tant que Graphiste  vos principales missions seront   Concevoir des visuels percutants pour divers supports  print  web  réseaux sociaux  etc    Collaborer avec l équipe marketing pour développer des campagnes publicitaires attractives  Assurer la cohérence visuelle de la marque à travers tous les supports de communication  Réaliser des maquettes  des illustrations et des animations  Participer à l élaboration de l identité visuelle de nouveaux produits  Être force de proposition et apporter des idées novatrices pour améliorer la communication visuelle  Profil recherché   Diplôme en graphisme  design ou domaine équivalent  Expérience en tant que graphiste  Maîtrise des outils de design  Adobe Creative Suite   Photoshop  Illustrator  InDesign  etc    Bonne connaissance des tendances actuelles en design graphique  Capacité à travailler en équipe et à gérer plusieurs projets simultanément  Pourquoi nous rejoindre   Travailler dans un environnement stimulant et créatif  Opportunités de développement professionnel  Équipe jeune et dynamique  Projets variés et enrichissants  Créativité  rigueur et sens du détail  Type d emploi   Temps plein Rémunération   4 500 00DH à 5 500 00DH par mois
Graphiste Multimedia/motion designer - job post,Digiscreen,Nous recherchons des Graphistes Multimedia Motion Designer talentueux et créatifs pour rejoindre notre equipe  Le candidat idéal aura une solide experience dans la création de contenus visuels captivants à la fois statiques et animés  pour nos projets numériques   Vous serez responsable de la conception et de la réalisation d  élements graphiques pour des supports digitaux que ce soit des images  des videos et pour d  autres domaines notamment les réseaux sociaux  Compétences requises     Maitrise des logiciels Adobe Illustrator Ai  Photoshop Ps  AfterEffects Ae    Expérience en création de vidéos animées  animation 2D 3D et montage video    Sens aigu de la créativité et de l esthétisme    Capacité à travailler sur plusieurs projets en respectant les délais    Connaissance des tendances actuelles en matière de design et de motion design    Des compétence en developement html  java C sont un plus  Pour postuler   Envoyer votre CV et portfolio  Seuls les candidats démontrant leur maitrise des outils requis seront considérés  Type d emploi   Temps plein  CDI  CDD Formation   Baccalauréat ou équivalent  Requis   Expérience   Graphiste multimedia  1 an  Requis   Langue   Français  Requis  Anglais  Optionnel 
Infographiste-Designer - job post,Bida print,Description de l Entreprise   Bidaprint  l une des imprimeries leaders basées à Casablanca  recherche un e  infographiste créatif ve  pour rejoindre notre équipe dynamique  Poste   Infographiste Créatif Localisation   Casablanca Responsabilités   En tant qu Infographiste Créatif chez Bidaprint  vous serez chargé e  de concevoir des visuels accrocheurs et innovants pour divers supports d impression  Vous collaborerez étroitement avec nos clients pour comprendre leurs besoins visuels et créer des designs qui captivent et inspirent  Principales Responsabilités    Concevoir des visuels créatifs pour divers supports  tels que brochures  affiches  cartes de visite  etc  Collaborer avec les clients pour comprendre leurs besoins et leurs visions créatives  Utiliser des logiciels de conception graphique pour produire des créations de haute qualité  Respecter les délais de production et assurer la cohérence visuelle des projets   Qualifications Requises    Diplôme en design graphique  arts visuels ou domaine connexe  Expérience démontrée en conception graphique  de préférence dans le secteur de l impression  Maîtrise des logiciels de conception tels que Adobe Creative Suite  Illustrator  Photoshop  InDesign   Créativité exceptionnelle et souci du détail   Type d emploi   Temps plein Rémunération   3 000 00DH à 6 000 00DH par mois Date limite de candidature   29 12 2024
Graphiste Designer - job post,Brocklinmedia,En tant que Graphiste Designer au sein de notre agence de communication dynamique  vous serez chargé e  de concevoir des visuels percutants et innovants  Vos principales responsabilités incluent    Création graphique   Concevoir des logos  brochures  flyers  affiches  bannières web  et autres supports de communication visuelle  Design d identité visuelle   Développer des identités visuelles fortes et cohérentes pour nos clients  Maquettage   Mettre en page des documents imprimés et numériques  Illustration   Créer des illustrations originales pour différents projets  Web design   Concevoir des interfaces web attrayantes et ergonomiques  Suivi de production   Assurer le suivi de la production graphique jusqu à l impression ou la mise en ligne   Votre Profil    Formation en design graphique ou équivalent  Maîtrise des logiciels de création graphique  Adobe Creative Suite   Photoshop  Illustrator  InDesign   Sens de la créativité et de l innovation  Solide connaissance des tendances graphiques et des techniques de communication visuelle  Rigueur et souci du détail  Capacité à travailler en équipe et à respecter les délais   Ce que nous offrons    Un environnement de travail stimulant et créatif  Des projets variés et passionnants  Une équipe dynamique et professionnelle  Des opportunités de développement de carrière  Un package salarial compétitif   Pour postuler  merci d envoyer votre CV et votre portfolio à  adresse email  en précisant la référence de l offre   GRAPHISTE_DESIGNER  Type d emploi   Stage
3d designer - job post,DECOVERSE STUDIO,DECOVERSE Studio  une société d architecture de renom  offre une opportunité de stage pour un e  3D Designer Architectural spécialisé e  en Unreal Engine ou Unity  Ce stage permet de travailler sur des projets passionnants en design architectural 3D  tout en développant des compétences techniques et créatives dans la visualisation interactive et les technologies immersives   En tant que 3D Designer Architectural  vos responsabilités principales seront les suivantes    Création de modèles 3D réalistes   Travailler en collaboration avec l équipe d architectes pour créer des rendus architecturaux interactifs à partir de plans et de concepts existants  Utilisation de moteurs de jeu  Unreal Engine   Unity  pour la conception de visualisations 3D et la création de visites virtuelles interactives  Participation aux réunions de projet   Discuter des concepts de conception et proposer des améliorations créatives et techniques  Veille technologique   Suivre les tendances actuelles en matière de design architectural et de technologies immersives afin d intégrer des idées novatrices dans les projets  Collaboration avec les équipes de conception et d ingénierie pour garantir la cohérence entre le design 3D et la faisabilité technique des projets    Profil recherché    Formation   Étudiant e  en architecture  design d intérieur  développement de jeux vidéo  ou dans un domaine connexe  Bac  3 minimum   Compétences techniques   Connaissance de base en visualisation 3D  rendu  et modélisation  Expertise en Unreal Engine ou Unity pour la création de rendus interactifs  Expérience dans la création de visites virtuelles interactives  Compétences supplémentaires   Bonne compréhension des principes architecturaux  des matériaux et des techniques de construction  Capacité à travailler en équipe  bonne communication  et respect des délais  Créativité et capacité à proposer des solutions novatrices dans le cadre de projets architecturaux 
HMI Graphics (UX/UI) Specifier - job post,Bertrandt AG,HMI Graphics  UX UI  Specifier  Workplace  11100  Rabat            What to expect     Generate technical documentation specifying the graphical construction of the system  Proactive individual with strong communication skills and the ability to present proposals to other departments  Collaborate with the design team to create mockups for all system views in Photoshop  Sketch  or Figma  Specify the positions  sizes  and properties of all assets in each view  Export all assets to a format accepted by implementation  png   Create and maintain Sketch and Figma libraries  Create wireframes for the implementation team  Communicate with the implementation team to ensure that the delivered elements are correct and can be implemented  Analyze  manage  and resolve errors found in the system           What you bring along     Studies in design related fields  UX UI  digital design  graphic design  multimedia  etc    Knowledge of UX UI  prototyping  testing  concept  wireframes   High level of English  B2   Problem solving skills and the ability to work both in a team and independently  Knowledge of design tools  Sketch  Photoshop  Figma  Adobe Suite  and Office  Knowledge of documentation and ticketing tools such as Confluence and JIRA is a plus          With more than 50 facilities in Europe  the Bertrandt Group has been providing development solutions for the international automotive and aircraft industry since 1974  Every day  more than 13 000 employees guarantee extensive know   how and support our client  Manufacturer and OEM  with management  design and industrialization solutions  Bertrandt Technologie Morocco offers you opportunities in the automotive sector  body in white  interior and exterior  layout  powertrain  and electronics   Moreover  we are also present in interdisciplinary field such as project management  quality management  supply chain industrialization and validations       What we offer              Responsible Tasks                  Mobile work                  Freedom to work independently                  Networking throughout the group                  Team oriented work              Contact        Amal Boumalik          Tel            What we offer            Responsible Tasks             Mobile work             Freedom to work independently             Networking throughout the group             Team oriented work                 Responsible Tasks               Mobile work               Freedom to work independently               Networking throughout the group               Team oriented work              Contact         Amal Boumalik              Tel  
Graphic Designer - job post,Garena,Casablanca Design Experienced  Individual Contributor     As Graphic Designer  you ll create visual concepts to communicate ideas that inspire  inform  and captivate the audiences  especially in gaming community  You will also have the opportunity to work with various stakeholders who are keen to tap into the vast mobile games market        Job Description      Create online and offline designs  concepts  and sample layouts  for all material contents Determine the sizes  styles  and arrangements of illustrative material and copy Develop graphics and layouts for the game operations needs       Job Requirements      Minimum a Diploma or Bachelor s degree in graphic design or related field Having a minimum of 1 year of experience as a graphic designer or relevant roles  preferably within the gaming  entertainment  or tech industry  Proficient in Adobe Photoshop  After Effect  and Illustrator Highly creative minds with knowledge of industry trends and the ability to think out of the box Excellent written and verbal communication skills along with the ability to effectively collaborate with cross functional teams Highly passionate about Esports with a good knowledge of the gaming industry in Morocco Knowledge and experience in graphic illustration  digital imaging  motion graphics  and 3D Design are a plus Willing to work in a full work from office arrangement in Casablanca under Freelance Contract within 3 months contract period
Designer/ Graphiste - job post,IS Digital,Dans le cadre de notre développement  nous recrutons pour notre agence sur Casablanca un profil designer Graphique  Vos missions seront de travailler au sein du département Design en collaboration avec nos équipes marketing pour la réalisation des conceptions de nos clients  Vous devez maîtriser les outils graphiques  savoir travailler en équipe en respectant les demandes et les délais et maîtriser le montage et l animation vidéo  Une maîtrise de la langue française à l écrit est obligatoire  Merci de nous transmettre votre candidature pour un entretien  Type d emploi   Temps plein Langue   français  Requis 
Infographiste - job post,Prestige digital,Entreprise la société Prestige digital est spécialisée dans la conception et personnalisation de tous types de textiles  Notre atelier conçoit avec passion et très soucieux du détail  Il s agit d un service de design agile  créatif  mais aussi spécialisé dans le domaine d expertise du textile vêtement et ameublement   Poste Infographiste Maîtrise des outils   Adobe Photoshop Adobe Illustrator  Profil Curieux se   proactif ve  et passionné e  de design  vous vous formez constamment dans votre domaine  L apprentissage et la maîtrise rapide d outils numériques sont essentiels 
