Title,Category,Skills
Principles of Computing (Part 2),Computer Science | Software Development,"Recursion,Algorithms,Python Programming,Tree (Data Structure),"
Marketing Mix Implementation Capstone ,Business | Marketing,"Pricing,Communication,Product Management,Marketing,"
Wharton Entrepreneurship Capstone,Business | Entrepreneurship,"Sales Presentation,Elevator Pitch,Finance,Entrepreneurship,"
Modern Data Warehouse Analytics in Microsoft Azure,Information Technology | Data Management,"Data Visualization Software,Data Warehousing,Analytics,Microsoft Azure,Data Visualization (DataViz),"
Optimize ML Models and Deploy Human-in-the-Loop Pipelines,Data Science | Machine Learning,"Human-in-the-Loop Pipelines,Distributed Model Training and Hyperparameter Tuning,Cost Savings and Performance Improvements,A/B Testing and Model Deployment,Data Labeling at Scale,"
Inteligencia artificial: proyecto final,Computer Science | Algorithms,
Artificial Creativity,Computer Science | Design and Product,"Artificial Intelligence (AI),Machine Learning,Design Thinking,Business Applications,Computational Creativity,"
Forex - Trading Around the World,Business | Finance,"FX Case Study,FX Trading,currency pairs,Foreign Exchange Market (FOREX),Monetary Policy,"
Building Your Leadership Skills,Business | Leadership and Management,"Confidence,Communication,Leadership,Human Resources (HR),"
AWS Cloud Technical Essentials,Information Technology | Cloud Computing,"AWS Identity and Access Management,Networking on AWS,AWS Management Console,Cloud Computing,aws security,"
"Modern Robotics, Course 4:  Robot Motion Planning and Control",Physical Science and Engineering | Mechanical Engineering,
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Computer Science | Algorithms,"Algorithms,Randomized Algorithm,Sorting Algorithm,Divide And Conquer Algorithms,"
Aromatherapy: Clinical Use of Essential Oils,Health | Research,"integrative healthcare,wellbeing,patient-centered care,improved symptom management,evidence-based practice,"
Diseño de Proyectos de Desarrollo,Social Sciences | Governance and Society,"Sostenbilidad,Gestión de proyectos,Diseño de Proyectos,Planificación estratégica,Evaluación de necesidades,"
"Career planning: Your career, your life",Business | Leadership and Management,
Solución de problemas y toma de decisiones,Business | Leadership and Management,
Tools for Data Science,Data Science | Data Analysis,"Data Science,Github,Python Programming,Jupyter notebooks,Rstudio,"
The Control Phase for the 6 σ Black Belt,Business | Business Essentials,
Linux System Administration with IBM Power Systems,Information Technology | Cloud Computing,"Linux,Red Hat Enterprise Linux,virtualization,IBM Power Systems,Cloud Computing,"
Google Cloud Fundamentals: Core Infrastructure,Information Technology | Cloud Computing,"Google Compute Engine,Google App Engine (GAE),Google Cloud Platform,Cloud Computing,"
Design Patterns,Computer Science | Software Development,
Human Resources Management Capstone: HR for People Managers,Business | Leadership and Management,"Human Resources (HR),Compensation Analysis,Performance Management,"
Principles of Photo Composition and Digital Image Post-Production,Arts and Humanities | Music and Art,
Google Sheets - Advanced Topics en español,Information Technology | Cloud Computing,
Sensor Manufacturing and Process Control,Physical Science and Engineering | Electrical Engineering,"Sensor manufacturing,PID control,MEMS hardware,MEMS sensors,Process Control,"
Machine Learning: Regression,Data Science | Machine Learning,"Linear Regression,Ridge Regression,Lasso (Statistics),Regression Analysis,"
Inclusive Analytic Techniques,Business | Business Essentials,"Business Analytics,Gender Based Analysis,Qualitative and Quantitative Data Analysis,Stakeholder Analysis,community engagement,"
Autodesk Fusion 360 Integrated CAD/CAM/CAE,Physical Science and Engineering | Mechanical Engineering,"Computer-Aided Design (CAD),Autodesk,3d modeling,Autocad,"
Introduction to Clinical Data Science,Data Science | Data Analysis,
"Data Wrangling, Analysis and AB Testing with SQL",Data Science | Data Analysis,"A/B Testing,Query String,Data Analysis,Predictive Analytics,SQL,"
"Execution, persistence, privilege escalation and evasion",Information Technology | Security,"Persistence,Python Programming,privilege escalation and evasion,Cybersecurity,Execution,"
Understanding Financial Statements: Company Position,Business | Business Essentials,"Accounting,Financial Statement,Balance Sheet,Accounting Terminology,"
Excel Power Tools for Data Analysis,Business | Business Essentials,"Microsoft Excel,Data Analysis,Big Data,Data Visualization (DataViz),power bi,"
"Functions, Methods, and Interfaces in Go",Computer Science | Software Development,
Introduction to Software Testing,Computer Science | Software Development,"Writing Test Plans,Writing Defect Reports,Understanding of Testing Theory,Writing Tests,Testing Vocabulary,"
"Everyday Excel, Part 1",Computer Science | Design and Product,"Data Management,Spreadsheet,Microsoft Excel,Problem Solving,Real World,"
Ordered Data Structures,Computer Science | Software Development,
Training and Learning Programs for Volunteer Community Health Workers,Health | Public Health,
Designing the Organization,Business | Leadership and Management,"Organizational Structure,Knowledge of General Business Functions,Organization Design,Organizational Theory,Strategic Management,"
Cloud Data Engineering,Information Technology | Cloud Computing,
Developing a Google SRE Culture,Business | Leadership and Management,"SRE Culture,Business Value,Organizational Culture,"
Project Management Project,Business | Business Essentials,"Schedule,Project Management,Risk Management,Budget,"
Entrepreneurship 4: Financing and Profitability,Business | Entrepreneurship,"Venture Capital,Exit Strategy,Finance,Entrepreneurship,"
"Custom Models, Layers, and Loss Functions with TensorFlow",Data Science | Machine Learning,"Functional API,Custom Layers,Custom and Exotic Models with Functional API,Custom Loss Functions,"
Factorial and Fractional Factorial Designs,Data Science | Probability and Statistics,
Applied AI with DeepLearning,Data Science | Machine Learning,"Machine Learning,Deep Learning,Long Short-Term Memory (ISTM),Apache Spark,"
A Technical Leader's Qualities and Effectiveness,Personal Development | Personal Development,"Collaboration,Managing Stakeholders,Resilience,Relationships,Negotiation,"
Mathematical Biostatistics Boot Camp 2,Data Science | Probability and Statistics,"Statistics,Statistical Hypothesis Testing,Biostatistics,"
Managerial Economics and Business Analysis Capstone,Business | Business Essentials,
International Marketing Entry and Execution,Business | Marketing,
Build Better Generative Adversarial Networks (GANs),Data Science | Machine Learning,"Bias in GANs,StyleGANs,Pros and Cons of GANs,GANs Alternatives,GAN Evaluation,"
Noun Clauses and Conditionals,Language Learning | Learning English,
Machine Learning: Classification,Data Science | Machine Learning,"Logistic Regression,Statistical Classification,Classification Algorithms,Decision Tree,"
Leading Teams: Building Effective Team Cultures,Business | Leadership and Management,"Develop team culture,Navigate growth and change in teams,Create space for DEIB,Facilitate psychological safety,Manage motivation and engagement,"
"Intro to AR/VR/MR/XR: Technologies, Applications & Issues",Computer Science | Design and Product,
Career Self-Management Advanced Certification,Personal Development | Personal Development,"Skills Management,strategy,Personal Development,Personal Branding,Competence (Human Resources),"
Brand New Brand,Arts and Humanities | Music and Art,"Adobe Photoshop,Adobe Indesign,Graphics,Color Theory,"
Writing Stories About Ourselves,Arts and Humanities | Music and Art,
Managing the Organization,Business | Leadership and Management,"Organizational Culture,Ethics,Decision-Making,Strategic Leadership,Organizational Change,"
Cryptocurrency and Blockchain: An Introduction to Digital Currencies,Business | Finance,
Critical Thinking Skills for the Professional,Business | Business Essentials,"Critical Thinking,Decision-Making,Problem Solving,Brainstorming,"
Social Media and Digital Marketing Fundamentals,Business | Marketing,"Digital transformation,Digital Marketing,Social Media Marketing,Content Marketing,Digital Strategy,"
Functional Programming Principles in Scala,Computer Science | Software Development,"Scala Programming,Recursion,Functional Programming,Immutable Data Types,Higher-Order Function,"
Introduction to Cloud Computing,Information Technology | Cloud Computing,"Cloud Native,Devops,Iaas PaaS Saas,Hybrid Multicloud,Cloud Computing,"
Planned Giving,Business | Business Strategy,
Measuring the Success of a Patient Safety or Quality Improvement Project (Patient Safety VI),Health | Healthcare Management,"Data Analysis,Performance Measurement,Project Evaluation,"
Financial Accounting: Advanced Topics,Business | Finance,"Cash Flow,Financial Accounting,Cash Flow Statement,Financial Statement,"
Immunology: Immune System and Infectious Diseases,Health | Basic Science,"Immunology,Tumour immunity,Autoimmunity,Infectious Diseases,"
Public Speaking and Presentations ,Personal Development | Personal Development,"Responding with an elevator pitch,Preparing an informative lecture,Delivering a persuasive speech,Engaging others with storytelling,"
"Medical Emergencies: CPR, Toxicology, and Wilderness",Health | Patient Care,
Design Thinking for Innovation,Business | Business Strategy,"Strategic Thinking,Design Thinking,Innovation Management,Design Management,Innovation,"
 Supervised Machine Learning: Classification,Data Science | Machine Learning,"Decision Tree,Ensemble Learning,Classification Algorithms,Supervised Learning,Machine Learning (ML) Algorithms,"
Effective Business Presentations with Powerpoint,Business | Business Essentials,"Data Analysis,Communication,Presentation Design,Presentation,"
Python Project for Data Science,Data Science | Data Analysis,"Data Science,Python Programming,Data Analysis,Pandas,Jupyter notebooks,"
Introduction to Management Consulting,Business | Business Strategy,"Business Case,Business Analytics,Management Consulting,Problem Solving,Consulting,"
Firm Level Economics: Consumer and Producer Behavior,Business | Finance,"Economics,Consumer Behaviour,Supply And Demand,Cost,"
Designing the Organization,Business | Leadership and Management,"Organizational Structure,Knowledge of General Business Functions,Organization Design,Organizational Theory,Strategic Management,"
Intermediate Object-Oriented Programming for Unity Games,Computer Science | Software Development,
Introduction to Python Programming,Computer Science | Software Development,"Python Tools,Python Syntax And Semantics,Programming Principles,Python Programming,Computer Programming,"
Healthcare Data Models,Health | Health Informatics,
Storytelling and influencing: Communicate with impact,Business | Leadership and Management,
"Image Segmentation, Filtering, and Region Analysis",Physical Science and Engineering | Electrical Engineering,"Image Processing,Image Segmentation,region analysis,image filtering,"
"Defining Diversity, Equity and Inclusion in Organizations",Business | Leadership and Management,
Building a Data Science Team,Data Science | Data Analysis,"Team Building,Data Science,Management,Team Management,"
"Excel/VBA for Creative Problem Solving, Part 1",Computer Science | Algorithms,"Microsoft Excel Vba,Computer Programming,Problem Solving,Debugging,"
The Art of Negotiation,Business | Business Essentials,"Win-Win Game,Negotiation,Planning,Principled Negotiation,"
Positive Psychology Specialization Project: Design Your Life for Well-being,Health | Psychology,"Character Strengths And Virtues,Flourishing,Positive Psychology,Personal Development,"
Managing Project Risks and Changes,Business | Leadership and Management,"Project Management,Change Control,Risk Management,Change Management,"
Renewable Energy Projects,Physical Science and Engineering | Environmental Science and Sustainability,"Renewable Energy,Project Execution,Project Operations,Project Feasibility,Project Management,"
Multiple Regression Analysis in Public Health ,Health | Health Informatics,"effect modifcation,Proportional Hazards Model,Regression Analysis,Spline approach,"
Exploratory Data Analysis,Data Science | Data Analysis,"Cluster Analysis,Ggplot2,R Programming,Exploratory Data Analysis,"
Decision-Making: Blending Art & Science,Business | Leadership and Management,"Decision-Making,Management,Strategic Leadership,Learning How To Learn,Leadership Development,"
Building Web Applications in Django,Computer Science | Mobile and Web Development,"Django Template Language,GET & POST,Object-Oriented Programming (OOP),Cross-Site Scripting Forgery (CSRF),Django (Web Framework),"
Operations Analytics,Business | Business Strategy,"Simulation,Mathematical Optimization,Solver,Decision Tree,"
Java Programming: Build a Recommendation System,Computer Science | Software Development,"Data Structure,Interfaces,Software Design,Java Programming,"
Healthcare Organizations and the Health System,Health | Healthcare Management,"Pharmacy Healthcare Organization Operations,Public Health and Wellness Healthcare Organization Operations,Medical Healthcare Organization Operations,Healthcare Administration,Dental Healthcare Organization Operations,"
Introduction to Supply Chain Finance & Blockchain Technology,Business | Business Strategy,"Blockchain Technology Implementation,Foreign Currency Risk Management,Accounts Receivable Management,Accounts Payable Management,Trade Finance Management,"
RPA Basics and Introduction to UiPath,Computer Science | Software Development,"Uipath,Studio,Automation,Workflow,rpa,"
Symptom Management in Palliative Care,Health | Patient Care,"symptom management,Communication,patient-centered care,Symptom Assessment,"
User Experience: Research & Prototyping,Computer Science | Design and Product,"User Research,Persona (User Experience),User Experience (UX),Human–Computer Interaction,"
C for Everyone: Programming Fundamentals,Computer Science | Software Development,
Executive Data Science Capstone,Business | Leadership and Management,"Data Science,Data Analysis,Management,Data Management,"
Data Science Methodology,Data Science | Data Analysis,"Data Science,Methodology,CRISP-DM,Data Analysis,Data Mining,"
Risk Management in Personal Finance,Personal Development | Personal Development,"Estate Planning,Risk Management,Life Insurance,Health Insurance,Insurance,"
Fashion Retail Transformation,Business | Business Strategy,"Merchandising,omnichannel processes,Customer Journey Mapping,retail strategy,E-Commerce,"
Leading Change in Health Informatics,Health | Health Informatics,"Digital Health,Information Technology Planning,Health Informatics,Strategic Leadership,Health Care,"
Apache Spark (TM) SQL for Data Analysts,Data Science | Data Analysis,"Data Analysis,Spark SQL,SQL,"
Financial Forecasting and Reporting,Business | Leadership and Management,"Risk Management: Scenario and Sensitivity Analysis,Sustainability Reporting & ESG Metrics,Budgeting Techniques for Cost and Profit Centers,Financial Ratio Analyses & Forecasting Techniques,Understanding Corporate Financial Statements,"
Oracle Database Platform,Computer Science | Software Development,
Building Resilient Streaming Analytics Systems on Google Cloud,Information Technology | Cloud Computing,
Web3 and Blockchain Transformations in Global Supply Chains,Business | Business Strategy,
Inventory Management,Business | Business Strategy,
Strategic Organization Design,Business | Business Strategy,"Organization Design,Strategic Management,Business Strategy,Organizational Structure,"
Accounting for Business Decision Making: Measurement and Operational Decisions,Business | Business Essentials,
Principles of Computing (Part 1),Computer Science | Software Development,"Computer Programming,Algorithms,Python Programming,Combinatorics,"
Reinforcement Learning for Trading Strategies,Data Science | Machine Learning,"Reinforcement Learning Model Development,Reinforcement Learning Trading Algorithm Optimization,Reinforcement Learning Trading Strategy Development,Reinforcement Learning Trading Algo Development,"
Strategic Management,Business | Business Strategy,"Strategic Management,Strategic Thinking,Strategic Planning,Business Strategy,"
Sustainable Consumption and Health,Health | Public Health,"Problem Solving,Performance,disease,Flow Network,"
Engineering Design Process with Autodesk Fusion 360,Physical Science and Engineering | Mechanical Engineering,
"Photography Techniques: Light, Content, and Sharing",Arts and Humanities | Music and Art,
Algebra: Elementary to Advanced - Equations & Inequalities,Math and Logic | Math and Logic,
Introduction to Early Childhood,Social Sciences | Education,"Creativity,Child Care,Decision-Making,Communication,Planning & Instruction,"
Python Data Structures,Computer Science | Software Development,"Python Syntax And Semantics,Data Structure,Tuple,Python Programming,"
Construction Project Management,Business | Business Strategy,"Project Management,Construction Management,Work Breakdown Structure,Project Planning,"
Machine Learning Data Lifecycle in Production ,Data Science | Machine Learning,"ML Metadata,Convolutional Neural Network,TensorFlow Extended (TFX),Data Validation,Data transformation,"
Data Mining Project,Data Science | Data Analysis,"Data Clustering Algorithms,Data Analysis,Natural Language Processing,Data Mining,"
"Smart Analytics, Machine Learning, and AI on GCP 日本語版",Information Technology | Cloud Computing,
Business English: Making Presentations,Language Learning | Learning English,
High-Impact Business Writing,Business | Business Essentials,"Email Writing,Proofreading,Writing,Communication,Business Writing,"
Introduction to Power Electronics,Physical Science and Engineering | Electrical Engineering,
Advanced Portfolio Construction and Analysis with Python,Business | Finance,
Mandarin Chinese 1: Chinese for Beginners,Language Learning | Other Languages,
What is Financial Accounting?,Business | Business Essentials,"Practical Applications,Financial Statement,Practical Applications in Accounting,Accounting Cycle,"
Marketing Strategy Capstone Project,Business | Marketing,
Managing the Organization,Business | Leadership and Management,"Organizational Culture,Ethics,Decision-Making,Strategic Leadership,Organizational Change,"
IoT Cloud,Computer Science | Mobile and Web Development,"Internet,Internet Of Things (IOT),Front And Back Ends,Service Discovery,"
"Forecasting, Budgeting, Territories, Evaluation and Legal/Ethical Issues",Business | Leadership and Management,
Hardware Description Languages for FPGA Design,Physical Science and Engineering | Electrical Engineering,"Writing Code in Verilog,Simulating FPGA Designs,Designing FPGA Logic,Designing Test Benches,Writing code in VHDL,"
Hardware Security,Computer Science | Computer Security and Networks,"Montgomery Modular Multiplication,Side-Channel Attack,Hardware Design,Cryptographic Hardware,"
Business English: Final Project,Language Learning | Learning English,
Online teaching: Using Zoom to connect with learners ,Social Sciences | Education,"Video Conferencing,Virtual Class,Lesson Plan,Zoom,Web Conferencing,"
Understanding User Needs,Computer Science | Design and Product,"User Research,Affinity Diagram,human computer interaction,User Experience (UX),"
More on Change and Sustainability,Business | Leadership and Management,
Speaking and Presenting: Pitches and Persuasion,Personal Development | Personal Development,"Problem Solving,Dynamic Movement,Resilience,Optimism,Ingenuity,"
Gestión del talento humano,Business | Leadership and Management,
DFSS for the 6 σ Black Belt,Business | Business Essentials,
Spatial Analysis and Satellite Imagery in a GIS,Physical Science and Engineering | Environmental Science and Sustainability,"Geographic Information System (GIS),Cartography,Esri,Mapping,Spatial Analysis,"
Product Management Essentials,Business | Business Essentials,"Customer Development,Product Development,Marketing,Product Management,Leadership,"
Take Your English Communication Skills to the Next Level,Language Learning | Learning English,"Professional,Presentation,Speech,Writing,"
Value-Based Care: Capstone Project,Health | Public Health,"Communication,Reflective Practice,interviewing,Receiving feedback,"
Software Processes and Agile Practices,Computer Science | Design and Product,"Lean Software Development,Agile Software Development,Software Development Process,Scrum (Software Development),"
Interview Research and Preparation,Business | Business Essentials,
Ready to Roll – The Video Production Process,Personal Development | Personal Development,"Framing,Video Production,Storytelling,video,"
Operations and Patient Safety for Healthcare IT Staff,Health | Patient Care,
Speaking and Presenting: Conversation Starters,Personal Development | Personal Development,"listening,Communication,Networking,Clarity,Ingenuity,"
FinTech Disruptive Innovation: Implications for Society,Business | Finance,
Six Sigma Principles ,Business | Business Essentials,"Lean Six Sigma,Process Improvement,Six Sigma,Lean Methods,"
"Anatomy: Gastrointestinal, Reproductive and Endocrine Systems",Health | Basic Science,
Positioning: What you need for a successful Marketing Strategy,Business | Marketing,"Market Segmentation,Marketing Process,Positioning (Marketing),Value Proposition,"
Data Visualization with Tableau Project,Data Science | Data Analysis,"Data Analysis,Interactive Visualization,Tableau Software,Data Visualization (DataViz),"
European Business Law: Understanding the Fundamentals,Business | Business Essentials,"Foreign Policy,Law,Legal Research,Business Law,"
"Positive Psychology: Character, Grit and Research Methods",Health | Psychology,
Career Success Project,Business | Business Essentials,
Six Sigma Advanced Analyze Phase,Business | Leadership and Management,
Questionnaire Design for Social Surveys,Health | Psychology,
Cybersecurity Compliance Framework & System Administration,Information Technology | Security,
Introduction to Integrative Nursing,Health | Patient Care,"integrative healthcare,wellbeing,patient-centered care,improved symptom management,evidence-based practice,"
Cloud Computing Law: Data Protection and Cybersecurity,Social Sciences | Law,"Cybersecurity Regulation,Cloud Services,General Data Protection Regulation (GDPR),International Transfers of Personal Data,Cloud Computing,"
 Advanced Topics in Derivative Pricing,Business | Finance,"Implied Volatility,Synthetic Collateralised Debt Obligation (CDO),Replicating Strategy,Volatility Smile,Computer Programming,"
Molecular Evolution (Bioinformatics IV),Health | Health Informatics,
Introduction to Mobile Development,Computer Science | Mobile and Web Development,"Web Development,React (Web Framework),HTML and CSS,Mobile Development,JavaScript,"
World Design for Video Games,Arts and Humanities | Music and Art,"Level Design,Art,Video Game Design,Game Design,"
Physics 102 - Electric Potential and DC Circuits,Physical Science and Engineering | Physics and Astronomy,"Electronic Circuits,Physics,Force Fields,Problem Solving,Electrical Engineering,"
Why Smart Executives Fail: Common Mistakes & Warning Signs,Business | Leadership and Management,"Learning from Failure,Strategic Leadership,Change Management,Leadership Development,Learning,"
"FinTech: Foundations, Payments, and Regulations",Business | Business Essentials,
Taking Safety and Quality Improvement Work to the Next Level (Patient Safety VII),Health | Patient Care,"Leadership,Patient Safety,Plan Implementation,Quality Improvement,"
Managing Change when Moving to Google Cloud,Information Technology | Cloud Computing,
Implementación del Marketing Mix Proyecto Capstone,Business | Marketing,
Guitar for Beginners,Arts and Humanities | Music and Art,"Tablature,Music notation,Guitar scales,Guitar chords,Guitar,"
Algebra: Elementary to Advanced - Polynomials and Roots,Math and Logic | Math and Logic,
Essential Google Cloud Infrastructure: Core Services,Information Technology | Cloud Computing,"Debugging,Cloud Storage,Data Store,Google Cloud Platform,"
Differential Equations for Engineers,Math and Logic | Math and Logic,
Natural Creativity,Computer Science | Design and Product,"Artificial Intelligence (AI),Innovation Strategies,Design Thinking,Theories of Creativity,Computational Creativity,"
Coaching Practices,Business | Leadership and Management,
Digital Marketing Capstone,Business | Marketing,"Digital Marketing,Marketing Analytics,Marketing Plan,Search Advertising,Marketing Performance Measurement And Management,"
Fundamentals of Graphic Design,Arts and Humanities | Music and Art,"Creativity,Graphics,Design Theory,Color Theory,"
Working with Data,Computer Science | Mobile and Web Development,"React (Javascript Library),Data Management,Application development,REST APIs,"
The Growth Mindset,Business | Business Essentials,
"Surveillance Systems: Analysis, Dissemination, and Special Systems",Health | Public Health,"Data Collection,Data Analysis,Epidemiology,Disease Surveillance,"
Applied Data Science Capstone,Data Science | Data Analysis,"Methodology,Github,Jupyter Notebook,Data Science Methodology,K-Means Clustering,"
Introduction to R Programming for Data Science,Data Science | Data Analysis,"Data Science,R Programming,"
Creating Toolpaths for a CNC Lathe,Physical Science and Engineering | Mechanical Engineering,"Manufacturing Process Management,Manufacturing process,Computer-Aided Manufacturing,Autodesk Fusion 360,Mechanical Engineering,"
Retail Digital Supply Chain,Business | Business Strategy,
Foundations of Public Health Practice: The Public Health Approach,Health | Public Health,
Country Level Economics: Macroeconomic Variables and Markets,Business | Finance,"Economics,Interest Rate,Supply Chain,Market (Economics),"
Introduction to Biology: Ecology,Physical Science and Engineering | Environmental Science and Sustainability,
Guitar for Beginners,Arts and Humanities | Music and Art,"Tablature,Music notation,Guitar scales,Guitar chords,Guitar,"
Healthcare Marketplace Capstone,Business | Finance,
Programming with JavaScript,Computer Science | Mobile and Web Development,"Test-Driven Development,JavaScript,Front-End Web Development,Object-Oriented Programming (OOP),"
Object Oriented Programming in Java,Computer Science | Software Development,"Logic Programming,Java Programming,Object-Oriented Programming (OOP),Sorting Algorithm,"
The Art of Music Production,Arts and Humanities | Music and Art,"Audio Production,Music,Music production,Songwriting,Music recording,"
Wharton Business Foundations Capstone,Business | Business Essentials,"Financial Accounting,Accounting,Finance,Marketing,"
Major and Principal Gifts,Business | Business Strategy,
Six Sigma and the Organization (Advanced),Business | Leadership and Management,"Lean Six Sigma,Process Improvement,Process Capability,Six Sigma,"
Annual Campaigns: Building a Case for Support,Business | Business Strategy,
Google Cloud Fundamentals: Core Infrastructure,Information Technology | Cloud Computing,"Google Compute Engine,Google App Engine (GAE),Google Cloud Platform,Cloud Computing,"
Introduction to Corporate Finance,Business | Finance,"Discounted Cash Flow,Decision-Making,Corporate Finance,Cash Flow Analysis,"
Marketing: Customer Needs and Wants,Business | Business Strategy,
Finance of Mergers and Acquisitions: Designing an M&A Deal,Business | Finance,
International B2B (Business to Business) Marketing,Business | Marketing,"Business Marketing,Marketing,Marketing Strategy,"
Google Slides en Español,Information Technology | Cloud Computing,
Federal Taxation II: Property Transactions of Business Owners and Shareholders,Business | Business Essentials,
Genomic Data Science and Clustering (Bioinformatics V),Health | Health Informatics,
Songwriting: Writing the Music,Arts and Humanities | Music and Art,"Melodic Hooks,Melody,Music,Harmony,Songwriting,"
Supply Chain Operations,Business | Business Strategy,"Lean Six Sigma,Supply Chain,Six Sigma,"
Six Sigma Advanced Improve and Control Phases,Business | Leadership and Management,
Architecting with Google Kubernetes Engine: Workloads,Computer Science | Software Development,
Data Science as a Field,Data Science | Data Analysis,"Data Science,Applied Mathematics,Information Science,Statistics,Computer Science,"
Network Analysis in Systems Biology,Health | Basic Science,
Advanced Interviewing Techniques,Language Learning | Learning English,
Bring Your Story to Life – Video Post-Production,Personal Development | Personal Development,"Video Post-Production,Video Editing,Video Production,Editing,"
IoT Networking,Computer Science | Computer Security and Networks,"Internet,Internet Of Things (IOT),Wireless,Front And Back Ends,"
Agile Planning for Software Products,Computer Science | Software Development,"Software Development,Agile Management,Program Evaluation And Review Technique (PERT),Agile Software Development,"
Healthcare Data Literacy,Health | Health Informatics,
Understanding Financial Markets,Business | Finance,"Bond Market,Interest Rate,Stock,Financial Markets,"
Applying Data Analytics in Marketing,Business | Marketing,"Marketing,regression,Analytics,Data Analysis,Marketing Analytics,"
Statistics for Data Science with Python,Data Science | Probability and Statistics,"Probability And Statistics,Regression Analysis,Data Visualization (DataViz),Statistical Hypothesis Testing,Basic Descriptive Statistics,"
Managing an Agile Team,Computer Science | Design and Product,"agile product management,Agile Software Development,backlog management,Kanban,XP,"
"Excel/VBA for Creative Problem Solving, Part 2",Computer Science | Algorithms,
Developing Data Models with LookML,Data Science | Data Analysis,
Teach English Now! Capstone Project 2,Language Learning | Learning English,
Human Factors in AI,Data Science | Machine Learning,"Machine Learning,Privacy,Design Thinking,Ethics,"
Input and Interaction,Computer Science | Design and Product,
Six Sigma Advanced Define and Measure Phases,Business | Leadership and Management,
Robotics: Estimation and Learning,Physical Science and Engineering | Mechanical Engineering,"Particle Filter,Estimation,Mapping,"
Networking in Google Cloud: Hybrid Connectivity and Network Management,Information Technology | Networking,
Intro to International Marketing,Business | Marketing,"Global Marketing,Marketing,Brand Management,Marketing Strategy,"
Artificial Intelligence: An Overview,Computer Science | Algorithms,
Getting Started with Git and GitHub,Computer Science | Software Development,"Distributed Version Control (DRCS),open source,Version Control Systems,Github,Git (Software),"
Understanding TikTok and Its Users,Business | Marketing,"Social Media Marketing,Content Creation,Content Marketing,Social Media Platforms,"
Essential Design Principles for Tableau,Data Science | Data Analysis,"Data Analysis,Tableau Software,Data Virtualization,Data Visualization (DataViz),"
Effective Compliance Programs,Business | Business Essentials,"Management,Strategic Planning,Compliance,Organizational Behavior,"
Customising your models with TensorFlow 2,Data Science | Machine Learning,"Tensorflow,Deep Learning,keras,"
Healthcare Marketplace,Business | Finance,"Healthcare Management,Insurance,Healthcare Marketing,Medical Device,"
"Excel/VBA for Creative Problem Solving, Part 3 (Projects)",Computer Science | Algorithms,
Supply Chain Management Strategy,Business | Business Strategy,"Supply Chain Strategy,Supply Chain Risk Management,Supply Chain,"
Accounting Analysis I: The Role of Accounting as an Information System,Business | Business Essentials,
Teaching Popular Music in the Classroom,Social Sciences | Education,"Music,classroom management,Curriculum Design,Teaching,Learning,"
Managing Employee Performance,Business | Business Essentials,"Performance Appraisal,Human Resources (HR),Performance Management,Organizational Culture,"
Design your own trading strategy – Culminating Project,Business | Finance,
Digital Media and Marketing Principles,Business | Marketing,"Digital Marketing,Marketing Channel,Social Media,Mobile Marketing,Integrated Marketing Communications,"
Introduction to Game Design,Arts and Humanities | Music and Art,"Video Game Development,Gameplay,Video Game Design,Game Design,"
Finding Mutations in DNA and Proteins (Bioinformatics VI),Health | Health Informatics,
Experimental Methods in Systems Biology,Health | Research,
Supporting Families and Caregivers,Health | Patient Care,"Caregiver Support,Palliative Care,Psychosocial Support,Child Guidance,"
Introduction to Hardware and Operating Systems,Information Technology | Support and Operations,"Technical Support,IT Service Management (ITSM),Troubleshooting,IT Career,"
Introduction to Business Analytics with R,Business | Business Essentials,"Business Analytics,R Programming,Rstudio,"
Probability Theory: Foundation for Data Science,Data Science | Probability and Statistics,"Probability,central limit theorem,continuous random variables,Bayes' Theorem,discrete random variables,"
Data Analysis with Python,Data Science | Data Analysis,"Predictive Modelling,Python Programming,Data Analysis,Data Visualization (DataViz),Model Selection,"
ESG Impact: Investor Perspective,Business | Finance,
Prediction Models with Sports Data,Data Science | Data Analysis,
Planning your Client's Wealth over a 5-year Horizon,Business | Finance,"Investment Management,Microsoft Excel,Finance,Investment,"
Market Risk Management: Frameworks & Strategies,Business | Finance,"Market Risk Management,Financial Risk Modeling,Designing a Stress Test,"
Ethical Issues in Data Science,Data Science | Data Analysis,"Data Science,Ethics,Algorithms,Privacy,Philosophy,"
Easing Physical Symptoms: It's Not Just Hospice Anymore,Health | Patient Care,
Arranging for Songwriters,Arts and Humanities | Music and Art,"Music,arranging,Songwriting,Writing,"
Web Application Technologies and Django,Computer Science | Mobile and Web Development,"Cascading Style Sheets (CSS),HTML,Hypertext Transfer Protocol (HTTP),SQL,Django (Web Framework),"
Solving Problems with Creative and Critical Thinking,Personal Development | Personal Development,"Professional Development,Soft skills,Problem Solving,Creative Thinking,Critical Thinking,"
Sales Force Management,Business | Leadership and Management,
"Professional development: Improve yourself, always",Business | Leadership and Management,
Financial Accounting Fundamentals,Business | Business Essentials,"Financial Accounting,Accounting,Financial Statement,Balance Sheet,"
Business Transformation with Google Cloud,Business | Business Strategy,"Organizational Culture,Business Transformation,Business Value,Business Strategy,Business Case Analysis,"
