StudentID,Major,Skills,Languages,Location,ExtracurricularActivities,GPA
253,Computer Science,"Artistic, Data Analysis, Programming, Leadership, Problem Solving","Chinese, French, German, Spanish, Japanese, English",Boston,Art Club,2.43
254,Mathematics,"Programming, Public Speaking, Artistic","English, Japanese",San Francisco,Debate Club,2.56
255,Psychology,Public Speaking,"Japanese, French, Spanish, Chinese, English",Houston,Debate Club,3.76
256,Mathematics,"Artistic, Public Speaking, Leadership, Problem Solving, Programming","German, Spanish, French, English",New York,Music Club,3.8
257,History,"Leadership, Programming, Artistic, Public Speaking","Japanese, Spanish, German",New York,Art Club,2.32
258,Biology,"Leadership, Programming, Data Analysis","English, German, French, Chinese, Japanese, Spanish",Boston,Music Club,2.37
259,Biology,"Public Speaking, Problem Solving, Leadership, Artistic",German,San Francisco,Debate Club,3.55
260,Psychology,"Programming, Data Analysis","Chinese, Japanese, German, Spanish",Los Angeles,Volunteer Group,3.76
261,Biology,"Artistic, Public Speaking, Programming, Problem Solving, Leadership","English, German, French, Chinese, Japanese, Spanish",Chicago,Volunteer Group,3.75
262,Computer Science,"Problem Solving, Leadership, Public Speaking","French, Japanese, Chinese, Spanish",San Francisco,Coding Club,2.98
263,Physics,"Artistic, Leadership, Public Speaking","English, Japanese",Boston,Coding Club,2.17
264,Biology,"Public Speaking, Artistic","English, Japanese, Chinese, German, Spanish, French",Los Angeles,Sports Team,2.95
265,Mathematics,"Data Analysis, Problem Solving","Japanese, French, Chinese, German, Spanish, English",Boston,Music Club,2.21
266,History,"Public Speaking, Problem Solving, Leadership",Japanese,Houston,Coding Club,2.37
267,Computer Science,"Leadership, Programming, Problem Solving, Artistic, Public Speaking","Spanish, German",San Francisco,Debate Club,2.97
268,History,"Public Speaking, Leadership, Problem Solving, Programming, Data Analysis, Artistic",Spanish,Chicago,Music Club,3.35
269,Biology,Data Analysis,"English, German, Spanish",New York,Debate Club,3.23
270,Mathematics,"Problem Solving, Data Analysis, Leadership, Public Speaking, Artistic, Programming","Chinese, German, French, English",Houston,Music Club,3.84
271,Mathematics,"Problem Solving, Artistic, Programming, Data Analysis","English, German, Spanish, Japanese",Houston,Coding Club,3.84
272,Psychology,Data Analysis,"French, English, German, Spanish, Japanese, Chinese",San Francisco,Volunteer Group,3.8
273,Physics,Artistic,"English, German",Boston,Art Club,2.73
274,Mathematics,Problem Solving,"Chinese, German, French, Spanish, English, Japanese",Boston,Art Club,3.07
275,Biology,Programming,"Japanese, English, Chinese, French, Spanish, German",San Francisco,Art Club,3.85
276,Physics,"Public Speaking, Problem Solving, Leadership, Data Analysis, Artistic, Programming","French, English, Chinese, Japanese, German",San Francisco,Volunteer Group,2.85
277,Biology,"Artistic, Data Analysis, Programming, Leadership","Japanese, English, French, German, Spanish",Boston,Music Club,3.1
278,Computer Science,Leadership,"Spanish, Chinese",Chicago,Debate Club,3.96
279,Mathematics,"Data Analysis, Public Speaking, Leadership","German, Chinese",San Francisco,Music Club,3.94
280,Psychology,Leadership,"French, German, Japanese, English, Chinese",Boston,Volunteer Group,2.83
281,History,"Public Speaking, Problem Solving, Artistic, Data Analysis, Programming, Leadership",German,Houston,Volunteer Group,3.73
282,Mathematics,"Leadership, Public Speaking","Chinese, English, Spanish, Japanese, French, German",New York,Art Club,3.19
283,Psychology,Public Speaking,"English, French",Chicago,Volunteer Group,2.97
284,History,"Data Analysis, Public Speaking, Leadership, Artistic, Problem Solving","Spanish, English, German",San Francisco,Art Club,2.08
285,Biology,Programming,"German, Chinese",Chicago,Art Club,3.28
286,Physics,"Problem Solving, Public Speaking, Data Analysis, Artistic, Programming, Leadership","Spanish, French, German",Los Angeles,Music Club,3.3
287,Psychology,"Problem Solving, Data Analysis, Public Speaking, Artistic",Spanish,Chicago,Art Club,2.51
288,History,"Problem Solving, Public Speaking, Artistic","Japanese, German",New York,Music Club,2.27
289,Computer Science,Artistic,"Chinese, Japanese",San Francisco,Art Club,3.17
290,Physics,"Problem Solving, Public Speaking, Programming, Data Analysis, Artistic","English, German, Japanese, French, Spanish",Houston,Volunteer Group,3.57
291,Physics,"Leadership, Problem Solving, Data Analysis","Spanish, German",Los Angeles,Debate Club,2.81
292,Psychology,"Leadership, Public Speaking, Artistic, Problem Solving, Programming, Data Analysis","German, Japanese, French, Spanish, Chinese, English",Chicago,Music Club,3.06
293,History,"Data Analysis, Problem Solving","Spanish, French, Chinese, English, Japanese",Boston,Volunteer Group,3.48
294,Mathematics,"Problem Solving, Artistic, Public Speaking, Programming, Leadership","German, French, Chinese",Boston,Art Club,3.08
295,History,"Programming, Artistic, Leadership, Data Analysis, Problem Solving, Public Speaking","German, English, Spanish, French, Chinese, Japanese",Houston,Art Club,3.32
296,Psychology,"Problem Solving, Programming",Chinese,San Francisco,Debate Club,2.86
297,Psychology,"Data Analysis, Leadership","Chinese, German, Japanese",Boston,Debate Club,3.65
298,Computer Science,"Problem Solving, Programming",Spanish,New York,Music Club,2.73
299,History,"Programming, Leadership","English, Spanish",Houston,Art Club,2.14
300,Biology,"Artistic, Problem Solving","Japanese, German, English, French",Houston,Debate Club,2.15
301,Computer Science,"Public Speaking, Leadership, Data Analysis, Problem Solving, Artistic","Spanish, Chinese, German",Houston,Music Club,2.05
302,Psychology,"Problem Solving, Public Speaking, Data Analysis, Artistic, Programming","Chinese, German",New York,Debate Club,2.3
303,Biology,"Artistic, Data Analysis, Programming","Chinese, German, Spanish, Japanese, French, English",Boston,Music Club,3.86
304,Physics,"Artistic, Public Speaking","English, Spanish, French, Chinese",Houston,Music Club,3.48
305,Mathematics,"Problem Solving, Public Speaking, Artistic, Leadership, Programming, Data Analysis","English, Spanish",Chicago,Art Club,3.45
306,Mathematics,"Public Speaking, Problem Solving, Leadership, Data Analysis, Artistic","Chinese, German, Spanish",Chicago,Music Club,2.64
307,Computer Science,"Problem Solving, Data Analysis, Leadership, Public Speaking, Artistic","Japanese, French, Spanish, German, Chinese, English",Boston,Coding Club,2.49
308,Physics,Leadership,"French, English, Japanese, Chinese, German",New York,Music Club,2.1
309,Mathematics,"Artistic, Data Analysis, Leadership, Public Speaking, Problem Solving","German, Spanish, Japanese, French",San Francisco,Volunteer Group,3.99
310,Mathematics,"Leadership, Problem Solving","English, French, Chinese, Spanish, German",Boston,Sports Team,3.89
311,Physics,"Data Analysis, Programming, Problem Solving, Public Speaking, Artistic, Leadership","German, English, Spanish, Japanese, French, Chinese",Chicago,Sports Team,3.79
312,Mathematics,"Leadership, Problem Solving, Public Speaking, Programming, Artistic, Data Analysis","Spanish, English",Houston,Volunteer Group,2.4
313,Biology,"Data Analysis, Problem Solving, Public Speaking, Programming, Leadership",Chinese,Boston,Music Club,3.7
314,Psychology,Programming,"English, German, Japanese, Chinese",Boston,Art Club,2.15
315,Mathematics,"Artistic, Public Speaking, Leadership, Data Analysis","Japanese, Chinese, Spanish, English, French, German",San Francisco,Art Club,2.59
316,History,"Artistic, Public Speaking, Leadership, Programming, Problem Solving, Data Analysis",Chinese,Los Angeles,Music Club,2.97
317,Psychology,"Artistic, Programming, Public Speaking, Data Analysis, Problem Solving","French, German, Chinese",New York,Sports Team,2.23
318,Psychology,"Artistic, Leadership","Spanish, Chinese, German",San Francisco,Debate Club,2.02
319,History,Public Speaking,"English, Chinese, Japanese, Spanish",Boston,Music Club,3.44
320,Biology,"Artistic, Programming, Problem Solving, Leadership, Public Speaking, Data Analysis","Chinese, German, Spanish, Japanese, English, French",Houston,Music Club,2.75
321,Physics,Artistic,German,San Francisco,Sports Team,2.67
322,Biology,"Data Analysis, Artistic, Problem Solving, Leadership, Programming, Public Speaking",Japanese,San Francisco,Debate Club,2.37
323,History,"Data Analysis, Problem Solving, Programming","Chinese, Japanese, English, Spanish",San Francisco,Coding Club,2.46
324,Biology,"Data Analysis, Artistic, Public Speaking, Programming","German, Japanese, French, English, Spanish",Boston,Coding Club,2.39
325,History,"Artistic, Programming","German, English, Chinese, Spanish, French, Japanese",New York,Debate Club,3.81
326,Biology,"Leadership, Data Analysis, Public Speaking","English, Chinese",New York,Music Club,2.72
327,History,"Leadership, Data Analysis, Problem Solving","English, Spanish, Japanese, Chinese",Los Angeles,Debate Club,3.65
328,Psychology,"Public Speaking, Programming, Artistic, Leadership","French, German, Chinese, Spanish",Chicago,Volunteer Group,2.74
329,Computer Science,"Leadership, Public Speaking","French, Japanese, Spanish",New York,Coding Club,3.62
330,Psychology,"Artistic, Leadership","Chinese, French, Spanish, German, Japanese, English",New York,Art Club,3.97
331,Mathematics,"Data Analysis, Programming, Public Speaking, Leadership, Artistic","Spanish, English, French, Japanese, Chinese",New York,Music Club,2.96
332,Computer Science,Problem Solving,"German, English, Japanese, French, Chinese, Spanish",Los Angeles,Music Club,2.22
333,Psychology,"Programming, Data Analysis, Artistic, Problem Solving, Public Speaking","Spanish, English, French, Chinese, Japanese",Boston,Art Club,3.4
334,Mathematics,"Leadership, Problem Solving, Public Speaking, Programming","English, German",Houston,Sports Team,3.15
335,History,"Leadership, Artistic, Problem Solving, Data Analysis, Public Speaking, Programming","English, Spanish, German, Chinese, Japanese",Los Angeles,Coding Club,2.18
336,History,"Leadership, Artistic, Programming","Spanish, Japanese, English, French",Houston,Volunteer Group,3.83
337,Biology,"Public Speaking, Data Analysis, Problem Solving, Leadership, Programming, Artistic","French, German, English, Spanish",Chicago,Music Club,2.52
338,History,"Leadership, Problem Solving, Programming","English, Japanese, French, Chinese, German, Spanish",Los Angeles,Debate Club,3.37
339,History,"Problem Solving, Artistic","Japanese, German",Chicago,Music Club,2.26
340,Biology,"Artistic, Leadership","English, Japanese, Spanish, Chinese",Boston,Coding Club,3.41
341,History,"Problem Solving, Public Speaking, Programming, Artistic","English, French, Spanish, Japanese, Chinese",San Francisco,Music Club,2.91
342,Mathematics,"Public Speaking, Problem Solving, Programming, Leadership","French, Japanese, Chinese",Boston,Art Club,2.94
343,Physics,"Data Analysis, Artistic, Public Speaking, Leadership","German, Japanese",Chicago,Coding Club,2.1
344,Computer Science,Leadership,"English, Japanese, German",San Francisco,Sports Team,2.63
345,History,"Problem Solving, Public Speaking, Programming, Artistic, Leadership",Japanese,New York,Music Club,3.57
346,Mathematics,"Leadership, Programming, Problem Solving, Artistic, Data Analysis, Public Speaking","Japanese, French, English, German, Spanish, Chinese",San Francisco,Coding Club,3.77
347,Physics,"Public Speaking, Data Analysis, Leadership, Programming","Chinese, German, English",San Francisco,Sports Team,2.62
348,Psychology,"Problem Solving, Public Speaking, Artistic, Leadership, Data Analysis, Programming","French, Spanish, Chinese, German, Japanese, English",San Francisco,Debate Club,3.77
349,Psychology,"Artistic, Data Analysis, Programming, Problem Solving, Leadership","English, Japanese, Spanish, German, French, Chinese",New York,Art Club,3.89
350,Computer Science,Artistic,"English, Chinese, German, Spanish",Boston,Art Club,3.68
351,Psychology,"Artistic, Problem Solving",Japanese,Chicago,Debate Club,3.31
352,Computer Science,Programming,"French, German, English, Chinese, Japanese, Spanish",New York,Volunteer Group,3.94
353,History,"Public Speaking, Artistic, Leadership, Problem Solving, Programming, Data Analysis","Japanese, French, English, Spanish",Houston,Sports Team,2.73
354,History,"Leadership, Programming, Public Speaking","French, Spanish, English, Chinese, Japanese, German",Houston,Art Club,2.34
355,Psychology,"Programming, Artistic","Spanish, English, French, Japanese, German",San Francisco,Coding Club,2.05
356,Mathematics,"Artistic, Public Speaking","English, Japanese, Spanish, German, Chinese",New York,Music Club,3.19
357,Computer Science,"Problem Solving, Data Analysis","German, Spanish, French, Chinese, Japanese, English",Chicago,Coding Club,3.34
358,Physics,Programming,"French, Spanish, Chinese, German",New York,Coding Club,3.76
359,Computer Science,Programming,"English, Japanese, Chinese",Houston,Sports Team,2.54
360,Psychology,"Artistic, Public Speaking, Leadership, Programming, Data Analysis, Problem Solving","Japanese, Spanish",Los Angeles,Coding Club,2.98
361,Mathematics,"Problem Solving, Data Analysis, Programming, Leadership","Japanese, French, English, Chinese, Spanish",New York,Music Club,2.71
362,Computer Science,"Leadership, Public Speaking, Problem Solving, Programming, Artistic, Data Analysis","Japanese, Spanish",San Francisco,Coding Club,2.76
363,Physics,"Artistic, Problem Solving, Leadership, Public Speaking","French, Chinese, Japanese, English, German, Spanish",San Francisco,Volunteer Group,2.17
364,Psychology,"Artistic, Programming, Data Analysis, Leadership","English, Japanese",San Francisco,Debate Club,2.43
365,History,"Public Speaking, Programming, Artistic, Problem Solving, Data Analysis","Chinese, English, German, Spanish",Los Angeles,Volunteer Group,3.68
366,Computer Science,"Problem Solving, Programming, Leadership","Japanese, German, English, French",Houston,Music Club,2.98
367,History,"Data Analysis, Programming",German,Chicago,Volunteer Group,3.11
368,Biology,"Artistic, Leadership, Data Analysis, Programming","Japanese, Chinese",Los Angeles,Music Club,3.56
369,History,"Data Analysis, Public Speaking, Artistic","Japanese, French, German, Chinese, English, Spanish",Houston,Art Club,2.64
370,Psychology,"Problem Solving, Public Speaking, Leadership","French, English, Spanish, German, Chinese",New York,Volunteer Group,2.5
371,Physics,"Problem Solving, Public Speaking, Leadership, Programming, Data Analysis, Artistic","German, English",Boston,Coding Club,2.19
372,Physics,"Artistic, Leadership","Spanish, German, Japanese",Los Angeles,Debate Club,3.86
373,Physics,"Data Analysis, Problem Solving","German, Chinese, Spanish, Japanese, English, French",San Francisco,Sports Team,2.43
374,Computer Science,"Programming, Leadership, Data Analysis, Artistic","Spanish, French, German, Chinese, English",Los Angeles,Music Club,2.86
375,Physics,"Data Analysis, Artistic, Public Speaking, Programming, Leadership, Problem Solving","Spanish, English",Los Angeles,Sports Team,3.49
376,Psychology,"Public Speaking, Artistic, Data Analysis, Leadership, Programming, Problem Solving","Chinese, English",San Francisco,Music Club,2.21
377,History,"Data Analysis, Leadership, Artistic","French, Japanese, English, German",Los Angeles,Coding Club,2.13
378,Physics,"Problem Solving, Public Speaking, Artistic, Leadership, Programming",French,Houston,Coding Club,2.34
379,Psychology,"Data Analysis, Problem Solving, Artistic","French, English, Chinese",Houston,Volunteer Group,3.42
380,Biology,"Problem Solving, Artistic, Public Speaking, Programming, Data Analysis","Spanish, Chinese, French, Japanese, German",San Francisco,Coding Club,2.43
381,Computer Science,Programming,"Spanish, English",New York,Sports Team,3.96
382,Computer Science,"Public Speaking, Artistic, Problem Solving, Leadership, Data Analysis","English, German",Houston,Music Club,2.92
383,Computer Science,"Problem Solving, Data Analysis","Chinese, French, Japanese, German, English",Houston,Debate Club,2.93
384,Computer Science,Programming,"German, Chinese, Spanish, English, French, Japanese",New York,Debate Club,2.32
385,Physics,"Problem Solving, Data Analysis, Leadership, Programming","German, Spanish, Japanese, French, Chinese, English",San Francisco,Volunteer Group,2.28
386,Mathematics,"Programming, Data Analysis, Public Speaking","Chinese, German, Spanish, Japanese, French, English",Houston,Music Club,3.3
387,Computer Science,"Data Analysis, Public Speaking, Programming",Japanese,San Francisco,Sports Team,3.84
388,Biology,Artistic,"Chinese, German, Spanish, Japanese",Houston,Sports Team,3.69
389,Biology,"Leadership, Programming","Japanese, Chinese, English, Spanish, French",Houston,Art Club,3.21
390,Physics,"Data Analysis, Public Speaking, Artistic, Leadership, Problem Solving","Japanese, German, French",New York,Debate Club,3.31
391,Mathematics,Leadership,French,Boston,Music Club,3.26
392,History,"Programming, Data Analysis, Leadership, Artistic, Problem Solving, Public Speaking",German,Los Angeles,Debate Club,2.75
393,Physics,"Leadership, Public Speaking, Problem Solving, Artistic, Programming","Japanese, French, Spanish",New York,Music Club,3.89
394,History,"Data Analysis, Problem Solving, Artistic, Public Speaking, Programming","French, Chinese, German, English",Chicago,Art Club,2.72
395,History,"Leadership, Artistic, Data Analysis, Programming, Problem Solving","Chinese, English, French, German",Chicago,Music Club,2.53
396,Mathematics,"Programming, Leadership, Artistic, Public Speaking, Data Analysis, Problem Solving",Spanish,Los Angeles,Art Club,3.81
397,History,"Problem Solving, Artistic, Data Analysis, Public Speaking, Leadership, Programming",English,San Francisco,Sports Team,2.74
398,Biology,"Programming, Public Speaking, Data Analysis, Problem Solving","Spanish, French",Los Angeles,Music Club,3.94
399,Mathematics,Leadership,"Japanese, German, English",Boston,Debate Club,3.69
400,Psychology,"Problem Solving, Leadership, Public Speaking, Artistic, Data Analysis","Japanese, Spanish, German, Chinese, French",San Francisco,Music Club,2.46
401,Psychology,"Programming, Problem Solving, Data Analysis, Artistic","Japanese, German, English, French, Chinese, Spanish",Los Angeles,Sports Team,3.21
402,Mathematics,"Problem Solving, Programming, Leadership","English, Japanese, French, Chinese, Spanish",Houston,Volunteer Group,3.64
403,Physics,"Data Analysis, Artistic","English, Chinese, Japanese, German",New York,Coding Club,3.72
404,Biology,"Artistic, Leadership","French, English, Spanish",Los Angeles,Debate Club,2.72
405,Mathematics,"Programming, Public Speaking, Leadership, Data Analysis",Chinese,New York,Coding Club,2.22
406,History,"Programming, Data Analysis, Leadership, Public Speaking, Artistic","Spanish, French, Japanese",Chicago,Music Club,3.37
407,Physics,"Public Speaking, Leadership","French, Japanese, Spanish, Chinese, German, English",New York,Sports Team,2.72
408,Physics,Programming,"Chinese, Spanish, French, English, German, Japanese",San Francisco,Sports Team,3.91
409,Mathematics,"Artistic, Programming, Leadership, Data Analysis, Problem Solving","French, English, Japanese, German",Houston,Music Club,3.56
410,Computer Science,"Public Speaking, Artistic, Leadership, Programming","English, French, Japanese, Spanish",San Francisco,Coding Club,2.19
411,Mathematics,"Programming, Public Speaking, Leadership, Data Analysis, Artistic, Problem Solving","English, German, Chinese, French",San Francisco,Debate Club,2.08
412,Computer Science,"Leadership, Data Analysis, Programming, Problem Solving, Artistic, Public Speaking","English, Chinese, French, Spanish",Chicago,Music Club,2.73
413,Biology,"Problem Solving, Leadership, Data Analysis","French, Spanish, German, Chinese",Boston,Music Club,2.42
414,Mathematics,"Data Analysis, Problem Solving, Leadership, Public Speaking","Spanish, Japanese, German",Chicago,Debate Club,2.36
415,Psychology,"Data Analysis, Artistic, Leadership",Chinese,Chicago,Volunteer Group,3.37
416,History,"Public Speaking, Programming, Leadership","Chinese, English, German, Japanese, French",New York,Art Club,2.81
417,Biology,"Artistic, Public Speaking, Problem Solving, Programming, Leadership","Japanese, Spanish",Boston,Music Club,2.4
418,Mathematics,"Leadership, Public Speaking, Artistic, Programming",English,San Francisco,Coding Club,3.99
419,History,"Public Speaking, Problem Solving, Leadership, Data Analysis, Programming","Japanese, German, French, Spanish",New York,Coding Club,3.94
420,Computer Science,Leadership,"Chinese, Japanese, French",New York,Debate Club,3.71
421,Mathematics,"Leadership, Problem Solving, Public Speaking, Artistic, Data Analysis","French, German, Spanish",Houston,Sports Team,3.11
422,Psychology,"Data Analysis, Problem Solving, Artistic, Programming, Leadership","Japanese, German, Chinese",San Francisco,Music Club,2.38
423,Psychology,"Data Analysis, Problem Solving, Artistic, Public Speaking","German, French, Japanese, Chinese, English",Chicago,Music Club,2.65
424,Mathematics,"Problem Solving, Artistic, Programming","French, English, Japanese, German",Boston,Sports Team,3.54
425,Computer Science,"Problem Solving, Leadership, Artistic","German, Chinese",Houston,Music Club,3.14
426,History,Artistic,"Spanish, French, English",San Francisco,Sports Team,2.99
427,Mathematics,"Programming, Problem Solving, Artistic",Spanish,New York,Debate Club,2.47
428,Psychology,"Artistic, Data Analysis, Problem Solving, Leadership, Public Speaking","Spanish, Japanese, English, Chinese, French, German",Boston,Debate Club,2.69
429,Mathematics,"Leadership, Artistic, Public Speaking, Programming","Chinese, Japanese, Spanish, German, French",San Francisco,Coding Club,2.93
430,Psychology,Data Analysis,"English, German, Chinese",Los Angeles,Art Club,3.22
431,Mathematics,"Programming, Artistic, Public Speaking","Japanese, English, German, Chinese, Spanish",Chicago,Coding Club,2.84
432,Mathematics,"Problem Solving, Artistic, Data Analysis, Public Speaking","Japanese, French, English, German, Spanish, Chinese",Houston,Music Club,3.85
433,Computer Science,"Problem Solving, Programming, Data Analysis, Public Speaking, Artistic","French, German, English, Spanish, Chinese, Japanese",Los Angeles,Sports Team,2.75
434,Psychology,"Programming, Problem Solving","German, Japanese, English",Chicago,Sports Team,2.5
435,Mathematics,"Programming, Artistic, Leadership, Data Analysis","Chinese, Spanish",Los Angeles,Debate Club,2.12
436,Mathematics,"Programming, Leadership, Artistic",Spanish,New York,Sports Team,2.73
437,Psychology,"Data Analysis, Public Speaking, Artistic, Problem Solving, Programming","Spanish, German, English, Japanese, French, Chinese",San Francisco,Sports Team,3.48
438,Psychology,"Public Speaking, Problem Solving, Artistic, Data Analysis, Leadership, Programming","Spanish, English, Japanese, French, German",Chicago,Debate Club,2.37
439,Psychology,"Programming, Public Speaking, Data Analysis, Problem Solving, Artistic",French,San Francisco,Coding Club,3.06
440,Mathematics,Leadership,"English, German, Chinese, Spanish, Japanese, French",Chicago,Music Club,3.74
441,Mathematics,"Programming, Problem Solving, Data Analysis, Leadership, Public Speaking, Artistic","Spanish, Japanese, English, German",Boston,Coding Club,2.72
442,Computer Science,"Public Speaking, Artistic, Data Analysis, Programming, Problem Solving","English, French, Spanish, German, Chinese",Houston,Art Club,3.05
443,Psychology,"Leadership, Public Speaking, Artistic, Programming, Data Analysis, Problem Solving","Chinese, Spanish, French",Los Angeles,Coding Club,2.08
444,Computer Science,"Public Speaking, Leadership, Artistic, Data Analysis","French, Japanese, Spanish",San Francisco,Volunteer Group,2.06
445,Psychology,"Leadership, Artistic, Public Speaking, Problem Solving, Data Analysis","German, Chinese, Japanese, French",Houston,Music Club,3.83
446,Physics,"Artistic, Public Speaking, Programming, Problem Solving","English, French, German, Japanese, Chinese, Spanish",Los Angeles,Volunteer Group,2.85
447,Computer Science,Artistic,"Chinese, English, Spanish, Japanese, French, German",Boston,Art Club,2.78
448,Physics,"Leadership, Problem Solving, Programming","French, Japanese, German, Spanish",San Francisco,Sports Team,2.63
449,Psychology,"Artistic, Problem Solving, Leadership","English, German, Spanish",San Francisco,Debate Club,3.33
450,Computer Science,"Leadership, Public Speaking, Programming, Data Analysis, Problem Solving, Artistic","English, German, Chinese, French",Los Angeles,Debate Club,2.03
451,Physics,"Artistic, Programming, Problem Solving, Data Analysis","English, French, Japanese, Spanish, German",Los Angeles,Art Club,2.76
452,History,"Artistic, Programming, Problem Solving, Data Analysis","German, English, French, Japanese, Chinese, Spanish",Boston,Music Club,2.16
453,History,"Leadership, Public Speaking, Artistic, Problem Solving, Data Analysis, Programming","German, Japanese, French",San Francisco,Debate Club,2.58
454,Physics,"Data Analysis, Programming, Artistic, Problem Solving, Leadership","German, Chinese, French, English, Spanish",Los Angeles,Debate Club,2.17
455,Psychology,Leadership,"Japanese, English, German",Boston,Volunteer Group,3.08
456,Computer Science,"Public Speaking, Problem Solving, Data Analysis, Leadership","French, German, Spanish, English",Houston,Debate Club,3.65
457,History,"Artistic, Leadership, Problem Solving, Public Speaking, Programming, Data Analysis","Spanish, Chinese, French, English, Japanese, German",New York,Sports Team,2.01
458,Biology,"Public Speaking, Programming","German, Japanese, English, French, Chinese",San Francisco,Music Club,3.61
459,Mathematics,"Programming, Leadership","Spanish, German, Japanese, French, Chinese, English",Los Angeles,Music Club,3.48
460,Psychology,"Data Analysis, Programming, Problem Solving, Leadership, Public Speaking","Spanish, Japanese, English, German",Houston,Coding Club,2.38
461,History,Data Analysis,French,Houston,Music Club,3.35
462,Mathematics,"Leadership, Public Speaking, Data Analysis, Programming","German, Spanish, French, Japanese, Chinese",New York,Debate Club,2.84
463,History,"Programming, Artistic, Data Analysis",Japanese,Los Angeles,Sports Team,2.65
464,Biology,"Programming, Public Speaking, Leadership, Artistic, Data Analysis","German, Japanese, French",Boston,Sports Team,2.85
465,History,"Problem Solving, Programming, Public Speaking",Spanish,New York,Music Club,3.45
466,Biology,"Artistic, Leadership, Data Analysis","Spanish, Japanese",Los Angeles,Coding Club,2.69
467,Mathematics,"Programming, Leadership, Data Analysis, Problem Solving, Artistic","Japanese, French",Los Angeles,Debate Club,2.7
468,History,"Leadership, Public Speaking, Artistic, Programming, Problem Solving, Data Analysis","Spanish, Japanese, Chinese, German",Houston,Sports Team,2.96
469,History,Public Speaking,"Japanese, German, French, English, Spanish, Chinese",Los Angeles,Art Club,3.16
470,Psychology,"Programming, Leadership, Data Analysis, Public Speaking, Artistic","Spanish, French",Los Angeles,Music Club,2.57
471,Physics,"Leadership, Data Analysis, Public Speaking, Artistic","Chinese, German",Houston,Art Club,3.14
472,Biology,"Public Speaking, Leadership, Programming, Problem Solving, Data Analysis, Artistic","English, Japanese, German, Spanish, Chinese, French",Los Angeles,Coding Club,3.51
473,Mathematics,"Problem Solving, Leadership, Programming, Public Speaking","French, Chinese, German",Chicago,Volunteer Group,2.76
474,Mathematics,"Artistic, Programming","French, German, English",Houston,Art Club,2.02
475,Computer Science,"Artistic, Leadership, Problem Solving, Programming, Data Analysis, Public Speaking","Spanish, French",Los Angeles,Music Club,2.01
476,Biology,"Public Speaking, Problem Solving, Artistic","Chinese, Spanish, German, French, English",Los Angeles,Music Club,3.73
477,Psychology,Public Speaking,Chinese,San Francisco,Sports Team,2.16
478,Biology,"Problem Solving, Leadership","German, Spanish, English, Japanese",Chicago,Debate Club,3.51
479,Physics,"Problem Solving, Data Analysis, Public Speaking, Programming","Japanese, Chinese, German, English, French",San Francisco,Sports Team,3.85
480,History,"Programming, Problem Solving","English, German, Spanish, Japanese",Los Angeles,Music Club,3.23
481,Physics,"Artistic, Programming, Data Analysis, Public Speaking, Problem Solving, Leadership",French,Boston,Sports Team,2.12
482,History,"Problem Solving, Leadership, Artistic, Data Analysis","Japanese, German",Chicago,Art Club,3.67
483,Biology,"Artistic, Problem Solving, Leadership, Data Analysis, Public Speaking, Programming",English,Los Angeles,Debate Club,2.25
484,History,"Data Analysis, Leadership","English, German",New York,Music Club,2.75
485,Computer Science,Data Analysis,"English, French, Japanese, Chinese",Los Angeles,Coding Club,2.88
486,Biology,"Problem Solving, Data Analysis, Programming","French, Japanese, German, English, Spanish",San Francisco,Music Club,2.6
487,Biology,"Artistic, Leadership, Data Analysis, Problem Solving","Chinese, Japanese, French, German, English, Spanish",Los Angeles,Art Club,3.79
488,History,Programming,"Spanish, Chinese, Japanese, German, English, French",Los Angeles,Coding Club,3.04
489,History,"Programming, Problem Solving, Artistic, Data Analysis","Spanish, English, Japanese, Chinese",New York,Debate Club,3.39
490,Physics,"Artistic, Data Analysis, Problem Solving, Public Speaking, Programming, Leadership","English, Japanese, Spanish, German",Houston,Debate Club,2.35
491,History,"Leadership, Programming, Public Speaking, Artistic","German, Spanish",Los Angeles,Sports Team,2.29
492,History,"Leadership, Problem Solving, Data Analysis, Artistic, Programming, Public Speaking",German,San Francisco,Sports Team,3.17
493,Psychology,Programming,"Japanese, Spanish, English, Chinese, German, French",New York,Coding Club,2.62
494,Mathematics,"Artistic, Leadership, Data Analysis","Chinese, French, Spanish, Japanese",San Francisco,Sports Team,2.74
495,History,"Artistic, Leadership","French, Japanese, German, Spanish, English, Chinese",San Francisco,Art Club,3.14
496,Biology,Programming,"French, German",Houston,Debate Club,2.63
497,Psychology,"Data Analysis, Problem Solving, Artistic",German,Boston,Sports Team,3.97
498,Mathematics,Public Speaking,"German, French, Spanish, English, Chinese, Japanese",New York,Debate Club,3.38
499,Mathematics,"Data Analysis, Leadership, Artistic, Problem Solving, Programming","Spanish, Japanese",Houston,Music Club,3.14
500,Biology,"Artistic, Programming, Data Analysis, Problem Solving, Public Speaking, Leadership","French, English, German",Los Angeles,Coding Club,2.71
501,Biology,"Data Analysis, Programming, Artistic, Problem Solving, Public Speaking","English, French, German, Chinese, Japanese, Spanish",Boston,Volunteer Group,2.28
502,Physics,Data Analysis,"French, English, German, Chinese, Japanese, Spanish",New York,Sports Team,2.06
503,Biology,"Public Speaking, Problem Solving, Data Analysis, Programming, Artistic, Leadership","Chinese, English, Japanese, German",Houston,Coding Club,3.11
